Date,Close,IHSG Close(D-1),Close(D-1),Close(D-2),Close(D-3),Close(D-4),Close(D-5),Close(D-6),Close(D-7)
2023-10-24,242,,,,,,,,
2023-10-23,240,7053.043945,242,,,,,,
2023-10-20,248,7048.379883,240,242,,,,,
2023-10-19,246,7043.938965,248,240,242,,,,
2023-10-18,258,7091.76123,246,248,240,242,,,
2023-10-17,254,7056.040039,258,246,248,240,242,,
2023-10-16,252,7098.890137,254,258,246,248,240,242,
2023-10-13,252,7052.303223,252,254,258,246,248,240,242
2023-10-12,248,7015.689941,252,252,254,258,246,248,240
2023-10-11,252,7034.573242,248,252,252,254,258,246,248
2023-10-10,254,7045.526855,252,248,252,252,254,258,246
2023-10-09,262,7102.395996,254,252,248,252,252,254,258
2023-10-06,246,7050.125977,262,254,252,248,252,252,254
2023-10-05,240,7070.083984,246,262,254,252,248,252,252
2023-10-04,242,6966.836914,240,246,262,254,252,248,252
2023-10-03,258,7089.206055,242,240,246,262,254,252,248
2023-10-02,268,7019.39209,258,242,240,246,262,254,252
2023-09-29,274,7035.5,268,258,242,240,246,262,254
2023-09-27,278,7014.383789,274,268,258,242,240,246,262
2023-09-26,270,7044.98584,278,274,268,258,242,240,246
2023-09-25,280,7082.181152,270,278,274,268,258,242,240
2023-09-22,272,7063.24707,280,270,278,274,268,258,242
2023-09-21,262,7030.587891,272,280,270,278,274,268,258
2023-09-20,270,7054.123047,262,272,280,270,278,274,268
2023-09-19,280,7080.515137,270,262,272,280,270,278,274
2023-09-18,278,7053.149902,280,270,262,272,280,270,278
2023-09-15,286,7017.35791,278,280,270,262,272,280,270
2023-09-14,282,7012.068848,286,278,280,270,262,272,280
2023-09-13,290,7081.312988,282,286,278,280,270,262,272
2023-09-12,276,7020.803223,290,282,286,278,280,270,262
2023-09-11,280,7019.63916,276,290,282,286,278,280,270
2023-09-08,268,6987.328125,280,276,290,282,286,278,280
2023-09-07,272,6892.569824,268,280,276,290,282,286,278
2023-09-06,278,6818.751953,272,268,280,276,290,282,286
2023-09-05,268,6804.227051,278,272,268,280,276,290,282
2023-09-04,274,6715.118164,268,278,272,268,280,276,290
2023-09-01,262,6734.452148,274,268,278,272,268,280,276
2023-08-31,244,6810.315918,262,274,268,278,272,268,280
2023-08-30,242,6801.749023,244,262,274,268,278,272,268
2023-08-29,242,6751.859863,242,244,262,274,268,278,272
2023-08-28,236,6812.192871,242,242,244,262,274,268,278
2023-08-25,242,6779.698242,236,242,242,244,262,274,268
2023-08-24,242,6768.315918,242,236,242,242,244,262,274
2023-08-23,246,6820.663086,242,242,236,242,242,244,262
2023-08-22,242,6824.432129,246,242,242,236,242,242,244
2023-08-21,240,6800.672852,242,246,242,242,236,242,242
2023-08-18,230,6835.808105,240,242,246,242,242,236,242
2023-08-16,236,6923.026855,230,240,242,246,242,242,236
2023-08-15,242,6850.52002,236,230,240,242,246,242,242
2023-08-14,246,6860.077148,242,236,230,240,242,246,242
2023-08-11,250,6850.619141,246,242,236,230,240,242,246
2023-08-10,250,6850.983887,250,246,242,236,230,240,242
2023-08-09,236,6888.757813,250,250,246,242,236,230,240
2023-08-08,246,6813.23877,236,250,250,246,242,236,230
2023-08-07,258,6653.84082,246,236,250,250,246,242,236
2023-08-04,230,6684.558105,258,246,236,250,250,246,242
2023-08-03,228,6688.265137,230,258,246,236,250,250,246
2023-08-02,224,6622.499023,228,230,258,246,236,250,250
2023-08-01,224,6584.453125,224,228,230,258,246,236,250
2023-07-31,230,6629.934082,224,224,228,230,258,246,236
2023-07-28,226,6641.830078,230,224,224,228,230,258,246
2023-07-27,230,6688.057129,226,230,224,224,228,230,258
2023-07-26,234,6767.339844,230,226,230,224,224,228,230
2023-07-25,236,6765.786133,234,230,226,230,224,224,228
2023-07-24,230,6819.907227,236,234,230,226,230,224,224
2023-07-21,238,6874.931152,230,236,234,230,226,230,224
2023-07-20,244,6860.854004,238,230,236,234,230,226,230
2023-07-18,228,6829.930176,244,238,230,236,234,230,226
2023-07-17,222,6864.817871,228,244,238,230,236,234,230
2023-07-14,222,6898.980957,222,228,244,238,230,236,234
2023-07-13,224,6872.480957,222,222,228,244,238,230,236
2023-07-12,224,6839.341797,224,222,222,228,244,238,230
2023-07-11,224,6862.257813,224,224,222,222,228,244,238
2023-07-10,224,6890.571777,224,224,224,222,222,228,244
2023-07-07,218,6911.731934,224,224,224,224,222,222,228
2023-07-06,226,6873.791016,218,224,224,224,224,222,222
2023-07-05,214,6935.300781,226,218,224,224,224,224,222
2023-07-04,212,6940.124023,214,226,218,224,224,224,224
2023-07-03,212,6897.365234,212,214,226,218,224,224,224
2023-06-27,212,6880.329102,212,212,214,226,218,224,224
2023-06-26,212,6900.140137,212,212,212,214,226,218,224
2023-06-23,214,6941.85498,212,212,212,212,214,226,218
2023-06-22,214,6914.538086,214,212,212,212,212,214,226
2023-06-21,220,6895.664063,214,214,212,212,212,212,214
2023-06-20,210,6895.713867,220,214,214,212,212,212,212
2023-06-19,220,6894.716797,210,220,214,214,212,212,212
2023-06-16,218,6873.404785,220,210,220,214,214,212,212
2023-06-15,224,6809.967773,218,220,210,220,214,214,212
2023-06-14,230,6839.454102,224,218,220,210,220,214,214
2023-06-13,220,6856.576172,230,224,218,220,210,220,214
2023-06-12,220,6854.776855,220,230,224,218,220,210,220
2023-06-09,214,6843.23877,220,220,230,224,218,220,210
