"EmployeeID","Attrition","EnvironmentSatisfaction","JobSatisfaction","WorkLifeBalance","JobInvolvement","PerformanceRating","Age","BusinessTravel","Department","DistanceFromHome","Education","Gender","JobLevel","MaritalStatus","MonthlyIncome","NumCompaniesWorked","PercentSalaryHike","StandardHours","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","YearsAtCompany","YearsSinceLastPromotion","YearsWithCurrManager"
"1","No","3","4","2","3","3","51","Travel_Rarely","Sales","6","2","Female","1","Married","131160","1","11","8","0","1","6","1","0","0"
"2","Yes","3","2","4","2","4","31","Travel_Frequently","Research & Development","10","1","Female","1","Single","41890","0","23","8","1","6","3","5","1","4"
"3","No","2","2","1","3","3","32","Travel_Frequently","Research & Development","17","4","Male","4","Married","193280","1","15","8","3","5","2","5","0","3"
"4","No","4","4","3","2","3","38","Non-Travel","Research & Development","2","5","Male","3","Married","83210","3","11","8","3","13","5","8","7","5"
"5","No","4","1","3","3","3","32","Travel_Rarely","Research & Development","10","1","Male","1","Single","23420","4","12","8","2","9","2","6","0","4"
"6","No","3","2","2","3","3","46","Travel_Rarely","Research & Development","8","3","Female","4","Married","40710","3","13","8","0","28","5","7","7","7"
"7","Yes","1","3","1","3","4","28","Travel_Rarely","Research & Development","11","2","Male","2","Single","58130","2","20","8","1","5","2","0","0","0"
"8","No","1","2","3","3","4","29","Travel_Rarely","Research & Development","18","3","Male","2","Married","31430","2","22","8","3","10","2","0","0","0"
"9","No","2","4","3","3","4","31","Travel_Rarely","Research & Development","1","3","Male","3","Married","20440","0","21","8","0","10","2","9","7","8"
"10","No","2","1","3","3","3","25","Non-Travel","Research & Development","7","4","Female","4","Divorced","134640","1","13","8","1","6","2","6","1","5"
"11","No","3","4","3","2","3","45","Travel_Rarely","Research & Development","17","2","Male","2","Married","79910","0","13","8","2","21","2","20","4","10"
"12","No","NA","4","3","3","3","36","Travel_Rarely","Research & Development","28","1","Male","1","Married","33770","0","12","8","2","16","2","15","10","11"
"13","No","4","1","3","3","3","55","Travel_Rarely","Research & Development","14","4","Female","1","Single","55380","0","17","8","0","37","2","36","4","13"
"14","Yes","1","2","2","2","3","47","Non-Travel","Research & Development","1","1","Male","1","Married","57620","1","11","8","2","10","4","10","9","9"
"15","No","4","4","2","3","3","28","Travel_Rarely","Research & Development","1","3","Male","1","Married","25920","1","14","8","0","5","2","5","0","4"
"16","No","3","4","4","3","3","37","Travel_Rarely","Research & Development","1","3","Male","2","Married","53460","4","11","8","0","7","2","5","0","1"
"17","No","4","3","4","2","3","21","Travel_Rarely","Research & Development","3","2","Male","1","Single","42130","1","12","8","3","3","3","3","1","0"
"18","No","1","4","3","3","3","37","Non-Travel","Research & Development","1","3","Male","2","Divorced","41270","2","13","8","1","15","2","5","0","2"
"19","No","2","2","2","2","3","35","Travel_Rarely","Sales","7","4","Male","1","Divorced","24380","7","16","8","0","10","5","7","6","2"
"20","No","1","1","3","3","3","38","Travel_Rarely","Research & Development","8","3","Female","1","Divorced","68700","1","11","8","1","8","5","8","7","7"
"21","No","3","2","1","3","3","26","Travel_Frequently","Research & Development","1","4","Male","2","Divorced","104470","1","18","8","0","6","3","6","1","4"
"22","No","1","2","2","2","4","50","Travel_Rarely","Sales","8","4","Male","1","Divorced","96670","3","23","8","0","28","2","10","1","6"
"23","No","3","3","2","3","3","53","Travel_Rarely","Research & Development","11","4","Female","2","Married","21480","3","11","8","0","21","2","5","1","3"
"24","No","2","3","3","1","3","42","Travel_Rarely","Research & Development","4","4","Male","1","Married","89260","1","14","8","0","NA","4","20","11","6"
"25","No","2","4","2","3","3","29","Travel_Frequently","Research & Development","16","4","Male","1","Single","65130","1","11","8","1","10","2","10","0","9"
"26","No","2","4","3","3","3","55","Travel_Rarely","Research & Development","1","4","Female","1","Married","67990","3","11","8","0","12","2","10","0","8"
"27","No","1","1","3","3","4","26","Travel_Frequently","Research & Development","9","3","Female","1","Married","162910","1","22","8","0","5","3","5","3","3"
"28","No","4","4","3","3","3","37","Travel_Rarely","Sales","5","1","Male","1","Single","27050","1","11","8","0","17","2","17","5","7"
"29","Yes","4","3","1","2","3","44","Travel_Frequently","Research & Development","1","2","Male","2","Divorced","103330","3","14","8","1","19","2","1","0","0"
